company,role,location,education,years_of_experience,base_salary,annual_bonus,annual_stock,total_compensation,company_tier,remote_work
Early Stage Startup,Senior Software Engineer,"Atlanta, GA",PhD,1,168637,17317,0,185954,Startup,0
Microsoft,Senior Software Engineer,"Chicago, IL",Self-taught,0,154415,20768,11593,186776,Tier2,1
Databricks,Senior Data Scientist,"Seattle, WA",Master's,0,267310,37473,34311,339094,Tier2,0
Series A Startup,Senior Software Engineer,"Austin, TX",Bachelor's,1,156311,11511,0,167822,Startup,0
Lyft,Senior Data Scientist,Remote,Bachelor's,6,246662,25406,28627,300695,Tier2,0
Amazon,ML Engineer,"Austin, TX",Master's,3,264157,40423,41655,346235,FAANG,1
IBM,Product Manager,Remote,Bachelor's,2,156776,15671,0,172447,Tier3,1
Stripe,Engineering Manager,"Atlanta, GA",Bachelor's,3,276885,22810,9426,309121,Tier2,0
Airbnb,Product Manager,"Los Angeles, CA",Bachelor's,1,216008,30602,13477,260087,Tier2,0
Series A Startup,ML Engineer,"Chicago, IL",Bootcamp,4,145052,11876,0,156928,Startup,0
Salesforce,Software Engineer,"Seattle, WA",Master's,0,173721,16502,10417,200640,Tier2,0
Series B Startup,Data Scientist,"Seattle, WA",Bachelor's,5,199624,37531,0,237155,Startup,0
Lyft,Software Engineer,"Austin, TX",Master's,0,155712,17828,16764,190304,Tier2,0
Amazon,Senior Product Manager,"Denver, CO",Bachelor's,5,293235,41822,23025,358082,FAANG,0
Oracle,ML Engineer,"Denver, CO",PhD,0,148659,13792,0,162451,Tier3,1
Google,Engineering Manager,"Boston, MA",Bachelor's,2,397410,73933,15972,487315,FAANG,0
Apple,ML Engineer,"New York, NY",Master's,0,280890,32267,22210,335367,FAANG,0
ServiceNow,Software Engineer,"Atlanta, GA",Bachelor's,0,109346,19856,0,129202,Tier3,0
Salesforce,Senior Software Engineer,"San Francisco, CA",Master's,3,278616,50844,10519,339979,Tier2,0
Apple,Senior Product Manager,"Atlanta, GA",Self-taught,0,206727,29070,19953,255750,FAANG,1
IBM,Senior Product Manager,"Denver, CO",Master's,2,167243,16046,0,183289,Tier3,1
Lyft,Senior Product Manager,"New York, NY",Bootcamp,1,288274,51925,23960,364159,Tier2,1
Google,Data Scientist,"Austin, TX",Master's,18,398711,66082,16449,481242,FAANG,0
Oracle,Senior Data Scientist,"New York, NY",Bachelor's,1,221614,19846,0,241460,Tier3,0
Early Stage Startup,Engineering Manager,"San Francisco, CA",Master's,3,408531,44294,0,452825,Startup,0
Databricks,Senior Product Manager,"Atlanta, GA",Master's,1,226091,36817,39060,301968,Tier2,1
Meta,Staff Engineer,"Atlanta, GA",Bachelor's,4,320850,54452,45418,420720,FAANG,0
Airbnb,Senior Data Scientist,"Seattle, WA",Master's,0,271460,36195,10241,317896,Tier2,1
IBM,ML Engineer,"Atlanta, GA",PhD,2,168495,22137,0,190632,Tier3,0
Oracle,Principal Engineer,Remote,Bachelor's,3,329889,76728,0,406617,Tier3,1
Early Stage Startup,Senior Data Scientist,"Seattle, WA",Bachelor's,15,238866,29114,0,267980,Startup,1
Microsoft,Senior Product Manager,"Denver, CO",Bachelor's,0,191141,8395,28158,227694,Tier2,1
Series B Startup,Engineering Manager,"New York, NY",Self-taught,1,278998,43851,0,322849,Startup,0
Early Stage Startup,ML Engineer,"Chicago, IL",Bachelor's,11,183021,24796,0,207817,Startup,0
Early Stage Startup,Staff Engineer,"Austin, TX",Self-taught,2,202274,21937,0,224211,Startup,1
Salesforce,Principal Engineer,Remote,Self-taught,0,349568,50306,32742,432616,Tier2,0
ServiceNow,ML Engineer,"Los Angeles, CA",Bachelor's,1,170474,20582,0,191056,Tier3,1
Lyft,Product Manager,"Los Angeles, CA",Master's,8,279586,51419,34764,365769,Tier2,0
Stripe,Senior Product Manager,Remote,Bachelor's,2,257520,25036,14027,296583,Tier2,1
Oracle,Staff Engineer,"Boston, MA",Bootcamp,2,240032,27993,0,268025,Tier3,1
IBM,Software Engineer,"Boston, MA",Bachelor's,13,246326,31925,0,278251,Tier3,0
Stripe,Product Manager,"New York, NY",Self-taught,0,224351,42685,15580,282616,Tier2,1
Series B Startup,Senior Product Manager,"New York, NY",Bachelor's,5,224691,21094,0,245785,Startup,1
Oracle,Data Scientist,"Los Angeles, CA",Master's,10,239828,46595,0,286423,Tier3,1
ServiceNow,Senior Data Scientist,"Austin, TX",Bachelor's,2,203162,30816,0,233978,Tier3,0
Workday,Product Manager,"San Francisco, CA",Bachelor's,1,226380,32434,0,258814,Tier3,0
Amazon,Senior Product Manager,"Chicago, IL",Master's,6,317333,59109,19866,396308,FAANG,0
Netflix,Senior Product Manager,"Los Angeles, CA",Bachelor's,5,406177,57315,30314,493806,FAANG,0
Intuit,Senior Software Engineer,"Boston, MA",Master's,1,193907,18183,0,212090,Tier3,1
Amazon,Software Engineer,"Austin, TX",Master's,5,201516,26788,19536,247840,FAANG,1
Airbnb,Data Scientist,"Boston, MA",PhD,6,242680,29080,7555,279315,Tier2,0
Salesforce,Senior Data Scientist,"Chicago, IL",Bootcamp,5,220808,26143,28345,275296,Tier2,0
Lyft,Senior Data Scientist,"Austin, TX",Master's,0,197926,25950,8845,232721,Tier2,0
Intuit,Senior Software Engineer,Remote,Bootcamp,5,156753,16408,0,173161,Tier3,0
Microsoft,Data Scientist,"San Francisco, CA",Bachelor's,1,228021,23927,8674,260622,Tier2,0
Databricks,Software Engineer,"Los Angeles, CA",Master's,1,203841,22593,9219,235653,Tier2,0
SAP,ML Engineer,"San Francisco, CA",Bachelor's,1,268451,27004,0,295455,Tier3,0
Lyft,Data Scientist,"Atlanta, GA",Master's,12,199998,17245,18465,235708,Tier2,0
Airbnb,Product Manager,"New York, NY",Bachelor's,1,225949,18646,5539,250134,Tier2,1
Oracle,Software Engineer,"New York, NY",Master's,4,195925,44570,0,240495,Tier3,0
Series A Startup,ML Engineer,Remote,Bachelor's,5,167929,12222,0,180151,Startup,1
IBM,Product Manager,"Los Angeles, CA",Bachelor's,0,154116,19996,0,174112,Tier3,1
Lyft,ML Engineer,Remote,Bachelor's,8,267094,37935,37343,342372,Tier2,0
Series B Startup,Software Engineer,"Seattle, WA",Bachelor's,13,239666,47314,0,286980,Startup,0
Netflix,Data Scientist,"Austin, TX",Bachelor's,2,225980,23001,20436,269417,FAANG,0
Early Stage Startup,Senior Data Scientist,"Austin, TX",Bachelor's,5,186779,39649,0,226428,Startup,1
Microsoft,Data Scientist,"Seattle, WA",Master's,2,251027,41703,12790,305520,Tier2,0
Meta,Senior Product Manager,"Chicago, IL",Master's,1,306461,67151,28526,402138,FAANG,0
Airbnb,Senior Software Engineer,"Chicago, IL",Bachelor's,7,199328,16710,10260,226298,Tier2,0
ServiceNow,Software Engineer,"Boston, MA",Bootcamp,1,131479,23452,0,154931,Tier3,1
Airbnb,Data Scientist,"Seattle, WA",Bootcamp,0,197537,27408,10878,235823,Tier2,1
Series A Startup,Software Engineer,"San Francisco, CA",Master's,1,168007,19570,0,187577,Startup,1
Meta,Principal Engineer,"Chicago, IL",Bachelor's,4,417318,50226,38063,505607,FAANG,0
Series B Startup,Senior Software Engineer,"Chicago, IL",Self-taught,3,123314,14933,0,138247,Startup,0
Uber,Engineering Manager,"Chicago, IL",Bachelor's,4,284979,20852,17248,323079,Tier2,0
Netflix,Product Manager,"Boston, MA",Master's,0,250237,30321,7262,287820,FAANG,1
Microsoft,Senior Data Scientist,"New York, NY",Bachelor's,15,303448,34710,48768,386926,Tier2,0
Uber,Senior Data Scientist,"Chicago, IL",Bootcamp,0,183854,15854,20922,220630,Tier2,0
Apple,ML Engineer,"Atlanta, GA",Master's,2,236796,24368,15683,276847,FAANG,0
Oracle,Senior Product Manager,"San Francisco, CA",PhD,4,279678,23633,0,303311,Tier3,0
Series A Startup,Principal Engineer,"Chicago, IL",PhD,0,289287,23418,0,312705,Startup,0
Google,Software Engineer,"Chicago, IL",Self-taught,18,283927,16675,36479,337081,FAANG,0
Intuit,Principal Engineer,"Seattle, WA",Bachelor's,4,382208,58129,0,440337,Tier3,1
Google,Engineering Manager,"San Francisco, CA",Bachelor's,0,532434,97252,62960,692646,FAANG,0
Oracle,Engineering Manager,"San Francisco, CA",Bachelor's,0,335841,67362,0,403203,Tier3,0
Lyft,Software Engineer,"Chicago, IL",PhD,1,163598,15437,9623,188658,Tier2,0
IBM,Engineering Manager,"Atlanta, GA",Master's,8,224648,33733,0,258381,Tier3,0
Apple,Senior Data Scientist,"San Francisco, CA",PhD,6,467204,55929,27084,550217,FAANG,1
IBM,Principal Engineer,"San Francisco, CA",Master's,1,424476,57497,0,481973,Tier3,0
Apple,Senior Data Scientist,"Austin, TX",Bootcamp,3,254571,47075,20236,321882,FAANG,1
Airbnb,Data Scientist,"San Francisco, CA",Master's,0,230586,34534,7107,272227,Tier2,0
Airbnb,Principal Engineer,"Seattle, WA",Master's,0,468720,79978,67183,615881,Tier2,0
Netflix,Staff Engineer,Remote,Self-taught,0,385086,25314,9350,419750,FAANG,0
Amazon,Product Manager,"Los Angeles, CA",Bachelor's,1,289754,53071,47443,390268,FAANG,1
Uber,Engineering Manager,"New York, NY",Bachelor's,3,338574,30405,27897,396876,Tier2,0
Amazon,Senior Software Engineer,"Denver, CO",PhD,6,284742,13478,17212,315432,FAANG,0
Netflix,Engineering Manager,"Atlanta, GA",Bachelor's,3,326160,75938,29254,431352,FAANG,1
Google,Staff Engineer,"Seattle, WA",Master's,1,470867,26610,15340,512817,FAANG,0
Airbnb,Data Scientist,"Atlanta, GA",Bachelor's,7,166095,21541,10481,198117,Tier2,0
Early Stage Startup,Data Scientist,"Denver, CO",Bachelor's,12,183978,16493,0,200471,Startup,1
Meta,Principal Engineer,"Austin, TX",PhD,7,461879,82399,13095,557373,FAANG,0
Google,Senior Data Scientist,"Atlanta, GA",Self-taught,0,222242,40799,17726,280767,FAANG,0
Amazon,Engineering Manager,"Atlanta, GA",Bachelor's,9,367797,62717,23652,454166,FAANG,0
Early Stage Startup,Senior Product Manager,"Chicago, IL",Master's,5,147898,30780,0,178678,Startup,0
Salesforce,Engineering Manager,"Austin, TX",Master's,3,331835,18753,37683,388271,Tier2,1
Series B Startup,Data Scientist,"New York, NY",Master's,0,155487,17569,0,173056,Startup,1
Series B Startup,Software Engineer,"San Francisco, CA",Bachelor's,1,166686,23096,0,189782,Startup,0
Airbnb,Data Scientist,"San Francisco, CA",Bachelor's,6,284121,64273,18998,367392,Tier2,0
Salesforce,Senior Software Engineer,"Seattle, WA",Bootcamp,8,272415,20217,30786,323418,Tier2,1
Salesforce,Senior Product Manager,"New York, NY",Master's,19,392231,42097,16042,450370,Tier2,0
IBM,Principal Engineer,"New York, NY",Self-taught,1,360678,62624,0,423302,Tier3,1
Airbnb,Senior Software Engineer,"Boston, MA",Bachelor's,3,274234,40475,41486,356195,Tier2,1
Salesforce,Product Manager,"Austin, TX",Bachelor's,1,164117,16905,13423,194445,Tier2,0
Lyft,Senior Data Scientist,"Atlanta, GA",Bachelor's,1,194042,20486,12497,227025,Tier2,1
IBM,ML Engineer,"Denver, CO",Master's,0,164852,13361,0,178213,Tier3,0
Apple,Principal Engineer,"Boston, MA",Bachelor's,12,606935,34564,34628,676127,FAANG,0
Intuit,Engineering Manager,"San Francisco, CA",Self-taught,1,308735,41470,0,350205,Tier3,1
Databricks,Senior Software Engineer,"New York, NY",Master's,0,230948,44240,20472,295660,Tier2,1
Series A Startup,Staff Engineer,"Chicago, IL",Bachelor's,4,213496,22198,0,235694,Startup,1
Apple,Software Engineer,"Los Angeles, CA",Master's,9,331773,16598,28778,377149,FAANG,1
ServiceNow,Principal Engineer,Remote,Bachelor's,14,388496,34167,0,422663,Tier3,0
SAP,Software Engineer,"Boston, MA",Master's,13,241056,30374,0,271430,Tier3,0
ServiceNow,Senior Product Manager,"San Francisco, CA",Self-taught,6,271647,47271,0,318918,Tier3,0
Uber,Staff Engineer,"Boston, MA",Bachelor's,0,289117,38578,40589,368284,Tier2,0
Series B Startup,Principal Engineer,"San Francisco, CA",Bachelor's,7,399284,20411,0,419695,Startup,1
Google,Data Scientist,"Austin, TX",Bachelor's,19,333214,64159,18317,415690,FAANG,1
Airbnb,Senior Data Scientist,"Atlanta, GA",Bachelor's,0,182829,20063,13103,215995,Tier2,1
IBM,Staff Engineer,"Chicago, IL",PhD,7,275784,36952,0,312736,Tier3,0
Databricks,Senior Software Engineer,"San Francisco, CA",Master's,2,307852,33824,46976,388652,Tier2,0
Series B Startup,Software Engineer,Remote,Master's,1,117844,6373,0,124217,Startup,0
Google,Senior Data Scientist,"Los Angeles, CA",Master's,5,382409,58121,38058,478588,FAANG,0
Google,Staff Engineer,"Atlanta, GA",Master's,0,306584,35478,20909,362971,FAANG,0
Uber,Software Engineer,"Los Angeles, CA",Bachelor's,1,182702,22695,34397,239794,Tier2,1
Uber,Senior Software Engineer,"New York, NY",Bachelor's,9,350553,16855,34458,401866,Tier2,0
Microsoft,Product Manager,"New York, NY",Self-taught,9,297945,16700,22354,336999,Tier2,0
Netflix,Senior Data Scientist,"Boston, MA",Bachelor's,4,330960,35919,31648,398527,FAANG,0
Uber,Product Manager,Remote,Bachelor's,3,215303,9746,32880,257929,Tier2,1
ServiceNow,Staff Engineer,"Seattle, WA",Self-taught,1,275261,25629,0,300890,Tier3,0
ServiceNow,Senior Software Engineer,"San Francisco, CA",Bachelor's,0,223268,17629,0,240897,Tier3,0
Airbnb,ML Engineer,"New York, NY",Bachelor's,0,234899,13016,41569,289484,Tier2,0
Salesforce,ML Engineer,"Boston, MA",Bachelor's,7,247817,47570,26517,321904,Tier2,1
Salesforce,Software Engineer,"Atlanta, GA",Bachelor's,5,180667,14061,23789,218517,Tier2,1
IBM,Engineering Manager,"San Francisco, CA",Bootcamp,5,338415,37044,0,375459,Tier3,0
Amazon,Principal Engineer,Remote,Self-taught,6,436370,23722,24259,484351,FAANG,1
Airbnb,Senior Product Manager,"Atlanta, GA",Bachelor's,5,231240,40761,23579,295580,Tier2,1
Workday,Senior Product Manager,"Chicago, IL",PhD,4,205225,38648,0,243873,Tier3,0
SAP,Data Scientist,"New York, NY",Master's,1,178373,8579,0,186952,Tier3,1
Intuit,Staff Engineer,"Chicago, IL",Bachelor's,0,213706,14629,0,228335,Tier3,0
Oracle,Senior Data Scientist,Remote,Bachelor's,4,223022,37037,0,260059,Tier3,0
Airbnb,Principal Engineer,"Austin, TX",Master's,8,370007,53040,46653,469700,Tier2,0
Series A Startup,Engineering Manager,"San Francisco, CA",PhD,0,375791,65396,0,441187,Startup,0
Stripe,Senior Software Engineer,"Denver, CO",Master's,4,174317,15507,8263,198087,Tier2,0
Salesforce,ML Engineer,Remote,Bachelor's,1,185740,29775,31590,247105,Tier2,1
IBM,Senior Software Engineer,"New York, NY",Master's,12,235287,19409,0,254696,Tier3,0
Intuit,Senior Data Scientist,"Boston, MA",Bootcamp,0,183729,17884,0,201613,Tier3,1
Salesforce,Engineering Manager,"Los Angeles, CA",Bachelor's,1,312823,16196,18938,347957,Tier2,0
ServiceNow,Senior Product Manager,Remote,Bachelor's,0,215919,29959,0,245878,Tier3,1
Workday,Product Manager,"Denver, CO",Master's,5,182764,31402,0,214166,Tier3,0
Amazon,Senior Product Manager,"New York, NY",Master's,6,427371,73238,16346,516955,FAANG,0
Netflix,Data Scientist,"Los Angeles, CA",Bachelor's,8,335193,18592,10367,364152,FAANG,0
Meta,Product Manager,"Atlanta, GA",Bachelor's,0,178166,32976,8205,219347,FAANG,0
Lyft,Senior Product Manager,"Boston, MA",Bootcamp,2,234959,26015,21586,282560,Tier2,0
IBM,Staff Engineer,"Los Angeles, CA",Bachelor's,2,295277,43470,0,338747,Tier3,1
Salesforce,Software Engineer,"New York, NY",Self-taught,4,213872,32282,31336,277490,Tier2,0
Meta,Staff Engineer,"Los Angeles, CA",Bachelor's,1,336648,43148,32962,412758,FAANG,1
Netflix,Senior Data Scientist,"San Francisco, CA",Bachelor's,9,486203,77304,13314,576821,FAANG,1
Series B Startup,ML Engineer,Remote,Self-taught,19,219185,30812,0,249997,Startup,1
Lyft,Senior Data Scientist,"Boston, MA",Master's,1,254156,41205,7327,302688,Tier2,0
Workday,Senior Software Engineer,"Austin, TX",Bachelor's,18,212841,15634,0,228475,Tier3,0
Uber,Staff Engineer,"Atlanta, GA",Bootcamp,5,264224,24375,29720,318319,Tier2,0
Apple,Senior Software Engineer,"Seattle, WA",Bachelor's,1,335282,30929,19807,386018,FAANG,0
Lyft,Principal Engineer,"San Francisco, CA",Bachelor's,4,531408,44892,44699,620999,Tier2,0
Lyft,ML Engineer,"Chicago, IL",Bachelor's,5,202230,31817,21183,255230,Tier2,1
Oracle,Principal Engineer,"Seattle, WA",Bootcamp,2,330532,27550,0,358082,Tier3,0
Workday,Software Engineer,"Boston, MA",Master's,0,149814,23829,0,173643,Tier3,1
Netflix,Staff Engineer,"Los Angeles, CA",Bachelor's,3,443350,31276,43949,518575,FAANG,0
SAP,Senior Software Engineer,"Seattle, WA",PhD,4,251226,34802,0,286028,Tier3,0
Oracle,Engineering Manager,"Denver, CO",Bachelor's,7,260814,25209,0,286023,Tier3,1
Uber,Senior Data Scientist,"Chicago, IL",Bootcamp,4,237963,31836,28678,298477,Tier2,0
Series A Startup,ML Engineer,Remote,Master's,6,174065,38494,0,212559,Startup,0
Workday,Engineering Manager,"Denver, CO",PhD,3,234523,22735,0,257258,Tier3,0
SAP,Senior Software Engineer,"New York, NY",Master's,8,254036,41639,0,295675,Tier3,1
Meta,Senior Product Manager,"New York, NY",Bachelor's,0,305991,36893,30957,373841,FAANG,0
Databricks,Principal Engineer,"Austin, TX",Master's,6,408188,29743,18339,456270,Tier2,0
Airbnb,Data Scientist,"Chicago, IL",PhD,4,188911,9774,27145,225830,Tier2,1
ServiceNow,Product Manager,"Los Angeles, CA",Bachelor's,0,162441,11511,0,173952,Tier3,1
Workday,Software Engineer,"Chicago, IL",Bachelor's,4,133196,28728,0,161924,Tier3,1
ServiceNow,ML Engineer,"Seattle, WA",Master's,3,223619,18825,0,242444,Tier3,0
Uber,Principal Engineer,"Boston, MA",Bachelor's,10,467047,50307,59501,576855,Tier2,0
Stripe,Principal Engineer,"Seattle, WA",Master's,3,469697,69231,14007,552935,Tier2,0
Series B Startup,Product Manager,"Denver, CO",Bootcamp,9,150603,15752,0,166355,Startup,0
Workday,Product Manager,"Seattle, WA",Bachelor's,0,202543,13060,0,215603,Tier3,0
IBM,Product Manager,"Chicago, IL",Bootcamp,4,141181,30801,0,171982,Tier3,1
Series A Startup,Staff Engineer,"Denver, CO",Bachelor's,7,241789,10236,0,252025,Startup,1
Series A Startup,Product Manager,"Chicago, IL",Master's,2,136826,8762,0,145588,Startup,0
Uber,ML Engineer,"Seattle, WA",Bachelor's,1,258755,39982,7855,306592,Tier2,0
Intuit,Staff Engineer,"Seattle, WA",Master's,0,336086,40545,0,376631,Tier3,1
Workday,Senior Product Manager,Remote,Master's,5,245218,60644,0,305862,Tier3,1
Stripe,Engineering Manager,"Los Angeles, CA",Bachelor's,4,393851,45764,51570,491185,Tier2,1
Lyft,Staff Engineer,"Denver, CO",Bachelor's,0,210900,15317,25485,251702,Tier2,1
Workday,Staff Engineer,"Los Angeles, CA",Bachelor's,9,353867,46745,0,400612,Tier3,0
Intuit,Principal Engineer,"Chicago, IL",Bachelor's,3,332003,36404,0,368407,Tier3,0
Series B Startup,Engineering Manager,"Seattle, WA",Self-taught,0,275355,58875,0,334230,Startup,0
Airbnb,Product Manager,Remote,Bachelor's,0,193926,33067,13404,240397,Tier2,0
Amazon,Senior Product Manager,"San Francisco, CA",Bachelor's,4,433732,41806,23822,499360,FAANG,1
Microsoft,Engineering Manager,Remote,Bachelor's,4,337852,60209,41167,439228,Tier2,1
Uber,Data Scientist,"Boston, MA",Bachelor's,12,291014,34430,8102,333546,Tier2,0
Uber,Senior Software Engineer,"Atlanta, GA",Master's,8,213837,18674,18632,251143,Tier2,0
SAP,Senior Product Manager,"Austin, TX",PhD,5,219077,15968,0,235045,Tier3,0
Oracle,Software Engineer,"Chicago, IL",Bachelor's,8,164939,6208,0,171147,Tier3,0
Apple,Senior Data Scientist,"Chicago, IL",Master's,0,289516,44961,23125,357602,FAANG,0
Salesforce,Product Manager,"Seattle, WA",Master's,15,387228,73266,30035,490529,Tier2,1
Workday,Senior Data Scientist,"Seattle, WA",Master's,1,225263,22508,0,247771,Tier3,1
Series A Startup,Staff Engineer,"New York, NY",Bachelor's,11,310387,42697,0,353084,Startup,1
Workday,Product Manager,Remote,PhD,8,229485,15506,0,244991,Tier3,0
Netflix,Software Engineer,"Chicago, IL",Master's,8,231737,28463,14624,274824,FAANG,0
Series A Startup,Data Scientist,"Austin, TX",PhD,3,143145,12903,0,156048,Startup,0
IBM,ML Engineer,"Seattle, WA",Bachelor's,4,240527,24869,0,265396,Tier3,0
Netflix,Senior Product Manager,"Chicago, IL",Master's,3,275866,26543,21685,324094,FAANG,0
Apple,Senior Software Engineer,"Austin, TX",Master's,6,301887,67919,38912,408718,FAANG,0
SAP,Product Manager,Remote,Master's,0,160594,10013,0,170607,Tier3,1
Apple,ML Engineer,"Atlanta, GA",Master's,12,274271,42418,19762,336451,FAANG,0
Intuit,Engineering Manager,"New York, NY",Master's,1,307070,27559,0,334629,Tier3,1
Netflix,Principal Engineer,"Chicago, IL",Bachelor's,4,418615,70729,76787,566131,FAANG,0
Amazon,Senior Data Scientist,"Chicago, IL",Master's,1,298130,28826,10561,337517,FAANG,0
Workday,Senior Data Scientist,"Chicago, IL",PhD,5,210917,39180,0,250097,Tier3,0
SAP,Data Scientist,"Austin, TX",Bachelor's,2,147601,9136,0,156737,Tier3,1
Early Stage Startup,Software Engineer,"Chicago, IL",Bachelor's,3,114346,13176,0,127522,Startup,1
Amazon,Senior Software Engineer,"Atlanta, GA",Master's,0,212318,31526,26664,270508,FAANG,1
Stripe,Principal Engineer,"Austin, TX",Master's,17,414497,27031,41325,482853,Tier2,0
Lyft,Data Scientist,"Atlanta, GA",PhD,7,186663,25013,22265,233941,Tier2,0
IBM,Senior Data Scientist,"San Francisco, CA",Bachelor's,1,267555,37767,0,305322,Tier3,0
Early Stage Startup,ML Engineer,"Seattle, WA",Bachelor's,8,256069,16313,0,272382,Startup,0
Series B Startup,Staff Engineer,Remote,Bachelor's,9,235483,20459,0,255942,Startup,0
ServiceNow,Senior Product Manager,"Boston, MA",Bachelor's,4,243080,37110,0,280190,Tier3,1
Microsoft,Software Engineer,"Chicago, IL",Bachelor's,1,162262,15244,6497,184003,Tier2,0
Airbnb,Staff Engineer,"San Francisco, CA",Master's,15,436814,72331,47891,557036,Tier2,0
Workday,Product Manager,"New York, NY",Bachelor's,8,248720,49551,0,298271,Tier3,0
Early Stage Startup,Product Manager,"New York, NY",Master's,7,188555,37270,0,225825,Startup,0
Microsoft,Senior Data Scientist,"Denver, CO",Bachelor's,4,176843,28299,6148,211290,Tier2,1
Intuit,Software Engineer,"Seattle, WA",Master's,1,171056,36500,0,207556,Tier3,0
Uber,Staff Engineer,"Denver, CO",Bachelor's,4,266594,19511,22273,308378,Tier2,0
Airbnb,Senior Data Scientist,"New York, NY",Bachelor's,1,284088,18777,23552,326417,Tier2,0
Microsoft,Data Scientist,"Chicago, IL",Master's,16,279512,19736,21412,320660,Tier2,0
Uber,Principal Engineer,"Seattle, WA",Bachelor's,8,470754,50612,19424,540790,Tier2,0
SAP,ML Engineer,"Denver, CO",Bachelor's,11,202292,12166,0,214458,Tier3,1
Google,Senior Product Manager,"Austin, TX",PhD,0,274161,20473,39777,334411,FAANG,0
Microsoft,Staff Engineer,"San Francisco, CA",Bachelor's,3,392298,27385,14665,434348,Tier2,1
Workday,Senior Product Manager,"Seattle, WA",Bachelor's,0,255105,27659,0,282764,Tier3,0
Amazon,Senior Product Manager,"San Francisco, CA",PhD,3,454909,29243,16231,500383,FAANG,0
Series A Startup,Engineering Manager,"Los Angeles, CA",Bachelor's,1,270683,49078,0,319761,Startup,0
SAP,Senior Software Engineer,"Boston, MA",Master's,2,217870,27135,0,245005,Tier3,0
Intuit,Engineering Manager,"Seattle, WA",Bachelor's,5,319949,17006,0,336955,Tier3,1
IBM,Senior Software Engineer,"Austin, TX",Bachelor's,16,201999,36208,0,238207,Tier3,1
Intuit,Principal Engineer,"San Francisco, CA",Bachelor's,6,440129,67979,0,508108,Tier3,0
Lyft,Principal Engineer,Remote,Bootcamp,4,333894,21619,20241,375754,Tier2,0
Lyft,Senior Software Engineer,"Austin, TX",Bachelor's,6,231677,20542,19030,271249,Tier2,0
IBM,ML Engineer,"Chicago, IL",PhD,2,195535,21724,0,217259,Tier3,0
IBM,Data Scientist,"Boston, MA",PhD,11,220435,17804,0,238239,Tier3,0
Early Stage Startup,Data Scientist,"Denver, CO",Master's,1,132181,18822,0,151003,Startup,0
Amazon,Principal Engineer,"San Francisco, CA",Bachelor's,1,666298,102923,71496,840717,FAANG,1
Netflix,Product Manager,"Seattle, WA",Master's,0,296766,29392,26509,352667,FAANG,0
Intuit,Principal Engineer,"Denver, CO",Master's,6,318413,40996,0,359409,Tier3,1
Amazon,Data Scientist,Remote,Bootcamp,4,217447,37433,15746,270626,FAANG,0
Amazon,Senior Software Engineer,"Seattle, WA",Bachelor's,5,346959,53825,13318,414102,FAANG,1
Intuit,Senior Product Manager,"Atlanta, GA",PhD,4,202417,16540,0,218957,Tier3,1
Netflix,ML Engineer,"Denver, CO",Bachelor's,1,237578,61652,13241,312471,FAANG,0
Series A Startup,ML Engineer,"Boston, MA",PhD,7,236489,34191,0,270680,Startup,1
ServiceNow,Engineering Manager,"Austin, TX",Bootcamp,17,324116,35131,0,359247,Tier3,1
Series A Startup,ML Engineer,"Boston, MA",Master's,1,177751,20034,0,197785,Startup,0
Amazon,Principal Engineer,"San Francisco, CA",Bachelor's,1,631661,71724,25597,728982,FAANG,1
Amazon,Product Manager,Remote,Master's,2,247283,36027,19336,302646,FAANG,0
Google,Senior Software Engineer,"Seattle, WA",Master's,2,373421,46718,44781,464920,FAANG,1
Oracle,Senior Software Engineer,"Austin, TX",Master's,2,164502,20958,0,185460,Tier3,1
Series A Startup,Principal Engineer,"New York, NY",Master's,5,366043,33502,0,399545,Startup,0
Intuit,Senior Product Manager,"Chicago, IL",Master's,3,202509,31090,0,233599,Tier3,0
Microsoft,Product Manager,"San Francisco, CA",PhD,0,257767,42326,31753,331846,Tier2,0
Series B Startup,ML Engineer,Remote,Bachelor's,15,213713,33856,0,247569,Startup,1
Early Stage Startup,Product Manager,"Boston, MA",Bachelor's,5,151953,11886,0,163839,Startup,1
Microsoft,Product Manager,"Atlanta, GA",Bachelor's,5,181272,33496,24616,239384,Tier2,1
Lyft,Data Scientist,"Los Angeles, CA",Bachelor's,8,240521,53388,14326,308235,Tier2,0
Amazon,Product Manager,"Atlanta, GA",Bootcamp,0,136814,21177,10082,168073,FAANG,1
Intuit,Senior Product Manager,"Austin, TX",Master's,1,187597,17878,0,205475,Tier3,0
ServiceNow,Senior Data Scientist,"Atlanta, GA",Master's,0,172049,12521,0,184570,Tier3,0
SAP,Principal Engineer,"San Francisco, CA",Bachelor's,0,402206,55291,0,457497,Tier3,1
Microsoft,ML Engineer,"Los Angeles, CA",Bachelor's,5,248133,27395,10055,285583,Tier2,1
Stripe,Software Engineer,"Denver, CO",Bachelor's,0,137004,25398,9632,172034,Tier2,1
Workday,Product Manager,"Seattle, WA",Self-taught,4,220540,19754,0,240294,Tier3,0
SAP,Engineering Manager,Remote,Bachelor's,0,213178,26711,0,239889,Tier3,1
Uber,Product Manager,"Boston, MA",Master's,12,252695,20556,14795,288046,Tier2,1
Early Stage Startup,Product Manager,"Seattle, WA",Bootcamp,2,149250,8490,0,157740,Startup,0
